iter	RMSE
211	1.929732157
212	1.927446661
213	1.925189108
214	1.922950099
215	1.921251799
216	1.918488458
217	1.91625884
218	1.914465416
219	1.911549904
220	1.908480807
221	1.906183647
222	1.903491428
223	1.901825974
224	1.899094432
225	1.895743842
226	1.893301802
227	1.89004442
228	1.887337331
229	1.88425158
230	1.882143682
231	1.878991531
232	1.87588131
233	1.87349279
234	1.870752654
235	1.869279906
236	1.867466843
237	1.865328788
238	1.862947796
239	1.860968601
240	1.858006723
241	1.855084253
242	1.852727836
243	1.850827306
244	1.848129729
245	1.845299825
246	1.84239846
247	1.839689869
248	1.837075264
249	1.834337727
250	1.831636533
251	1.828971175
252	1.826341154
253	1.823745981
254	1.821185013
255	1.818636476
256	1.816121669
257	1.813640124
258	1.81119138
259	1.809278636
260	1.806877109
261	1.804507278
262	1.802168706
263	1.799860962
264	1.797583621
265	1.795930746
266	1.79370084
267	1.79150024
268	1.789328545
269	1.787185358
270	1.785810057
271	1.783709232
272	1.781636015
273	1.779590027
274	1.777570897
275	1.775578256
276	1.773611742
277	1.772116559
278	1.770185057
279	1.768278822
280	1.766397508
281	1.764540777
282	1.762708296
283	1.760899736
284	1.759114771
285	1.757353084
286	1.755614358
287	1.753898283
288	1.752204554
289	1.750532869
290	1.74888293
291	1.747254445
292	1.745647125
293	1.744060684
294	1.742494843
295	1.740835844
296	1.7392992
297	1.737782487
298	1.73628544
299	1.734807793
300	1.733349288
301	1.732068533
302	1.730635614
303	1.729221218
304	1.727825097
305	1.726447008
306	1.725086711
307	1.723743971
308	1.722418552
309	1.721110226
310	1.719818765
311	1.718543946
312	1.717285548
313	1.716043354
314	1.71481715
315	1.713606723
316	1.711544205
317	1.709513348
318	1.708326991
319	1.707155968
320	1.706000077
321	1.704012561
322	1.702875589
323	1.701448678
324	1.700328473
325	1.699222792
326	1.698131438
327	1.696205746
328	1.695132253
329	1.694072696
330	1.693026889
331	1.691994645
332	1.690975785
333	1.689097476
334	1.687247877
335	1.685426519
336	1.684431055
337	1.683448589
338	1.682478947
339	1.681521953
340	1.680577436
341	1.679265239
342	1.67833469
343	1.676574788
344	1.675659422
345	1.673929289
346	1.672225482
347	1.671327869
348	1.670442055
349	1.668769687
350	1.667122721
351	1.666253924
352	1.664634533
353	1.663779765
354	1.662936308
355	1.661346439
356	1.660516586
357	1.65969773
358	1.658521417
359	1.656973189
360	1.655448373
361	1.654646252
362	1.653854831
363	1.653073957
364	1.652303482
365	1.650810398
366	1.64933986
367	1.647891505
368	1.646464977
369	1.645059923
370	1.644309727
371	1.643569653
372	1.642189388
373	1.641461095
374	1.640742638
375	1.639386625
376	1.638679594
377	1.637643404
378	1.636946985
379	1.635625495
380	1.634940142
381	1.633640066
382	1.63235947
383	1.631686522
384	1.631022746
385	1.63036801
386	1.629722182
387	1.628466663
388	1.627229937
389	1.626595739
390	1.62537887
391	1.624180181
392	1.622999382
393	1.622071391
394	1.621450662
395	1.620838497
396	1.620234767
397	1.619639346
398	1.619052111
399	1.617904264
400	1.61677352
401	1.615659608
402	1.614562259
403	1.613987578
404	1.613119315
405	1.612553395
406	1.611483024
407	1.610925977
408	1.610376684
409	1.609536732
410	1.608492556
411	1.60795258
412	1.606924801
413	1.605912238
414	1.605381604
415	1.604858411
416	1.603862539
417	1.602881389
418	1.602100241
419	1.601586707
420	1.601080416
421	1.600581254
422	1.600089111
423	1.599326259
424	1.598841638
425	1.597893949
426	1.597416898
427	1.596483929
428	1.596014324
429	1.59539794
430	1.594483444
431	1.593793417
432	1.593336932
433	1.59244401
434	1.591564232
435	1.591115496
436	1.590451264
437	1.589872359
438	1.589016883
439	1.588220988
440	1.587384918
441	1.586949511
442	1.586126271
443	1.585697649
444	1.584904339
445	1.584482743
446	1.583834865
447	1.583039787
448	1.582507246
449	1.581742544
450	1.580970789
451	1.580562812
452	1.579818279
453	1.579208238
454	1.578807485
455	1.578412517
456	1.577685086
457	1.577296588
458	1.576730067
459	1.576240771
460	1.575863644
461	1.575492716
462	1.574811202
463	1.574449066
464	1.573736725
465	1.573053402
466	1.572584278
467	1.572054135
468	1.571707466
469	1.571366467
470	1.571031034
471	1.570701066
472	1.570186214
473	1.569734821
474	1.569413499
475	1.569097394
476	1.568763513
477	1.568089912
478	1.567426884
479	1.566991043
480	1.566339446
481	1.565912589
482	1.565272173
483	1.564854047
484	1.564523566
485	1.563894234
486	1.563488759
487	1.562870126
488	1.562548832
489	1.562242573
490	1.561635648
491	1.56124481
492	1.560648148
493	1.560336924
494	1.560030229
495	1.559443045
496	1.559068534
497	1.55849122
498	1.558192943
499	1.557905958
500	1.557339435
501	1.55697828
502	1.556421232
503	1.5561322
504	1.555847363
505	1.555299055
506	1.555018404
507	1.554746188
508	1.554208026
509	1.553867339
510	1.553338122
511	1.553004131
512	1.552483674
513	1.552215068
514	1.551950354
515	1.551692301
516	1.551181434
517	1.550862403
518	1.550359956
519	1.550103324
520	1.549608611
521	1.549299484
522	1.549049705
523	1.548563121
524	1.54831697
525	1.548019912
526	1.547541293
527	1.547301693
528	1.547062674
529	1.54659273
530	1.546305959
531	1.54584366
532	1.545611303
533	1.54538114
534	1.544927174
535	1.544650267
536	1.544203657
537	1.543978301
538	1.543732783
539	1.543293256
540	1.543028385
541	1.542595934
542	1.542358398
543	1.541932763
544	1.54169921
545	1.541484918
546	1.541067125
547	1.540838345
548	1.540427106
549	1.540202097
550	1.539797292
551	1.539575964
552	1.539358057
553	1.538959741
554	1.538745354
555	1.538353229
556	1.538142283
557	1.53793456
558	1.537548651
559	1.537350211
560	1.537152708
561	1.536780986
562	1.536406798
563	1.536205468
564	1.536007189
565	1.535638892
566	1.535443719
567	1.535087986
568	1.534896062
569	1.534707014
570	1.534349197
571	1.534163061
572	1.533810717
573	1.53362743
574	1.533444049
575	1.53309802
576	1.532918165
577	1.532583421
578	1.532406475
579	1.532070119
580	1.531895832
581	1.531700585
582	1.531369468
583	1.53120017
584	1.531026695
585	1.53070726
586	1.530386165
587	1.530220163
588	1.530056569
589	1.529740356
590	1.529579157
591	1.529420284
592	1.529114427
593	1.52894949
594	1.52864283
595	1.52848697
596	1.528190424
597	1.528036969
598	1.527885705
599	1.527587494
600	1.52742934
601	1.527136372
602	1.526987765
603	1.526833655
604	1.526550823
605	1.526400107
606	1.52611665
607	1.525971235
608	1.525692022
609	1.525545828
610	1.525275724
611	1.525132723
612	1.52486252
613	1.524720203
614	1.52457835
615	1.524316943
616	1.524179589
617	1.52391804
618	1.523781305
619	1.523642467
620	1.523389437
621	1.523257483
622	1.52300427
623	1.522872872
624	1.522736961
625	1.522609642
626	1.522365212
627	1.522238384
628	1.521993745
629	1.521744648
630	1.521501114
631	1.521377643
632	1.521139306
633	1.521016855
634	1.520779281
635	1.520659423
636	1.520430499
637	1.520200728
638	1.519970257
639	1.519851976
640	1.519736119
641	1.519511759
642	1.519286874
643	1.519172284
644	1.518952267
645	1.518737253
646	1.518624926
647	1.518409509
648	1.518219221
649	1.518108307
650	1.517999366
651	1.517812365
652	1.517606437
653	1.517498595
654	1.517292078
655	1.517110263
656	1.517004586
657	1.516826212
658	1.51672209
659	1.516521045
660	1.516346748
661	1.516242909
662	1.516049474
663	1.515879239
664	1.51577825
665	1.515611206
666	1.515418616
667	1.515319573
668	1.515132846
669	1.514864734
670	1.514765648
671	1.51460662
672	1.514345311
673	1.514248528
674	1.514093831
675	1.513839135
676	1.513744582
677	1.513564783
678	1.51341485
679	1.51332351
680	1.513176351
681	1.51293247
682	1.51284118
683	1.512697981
684	1.512460237
685	1.512371039
686	1.512200736
687	1.512061884
688	1.511831928
689	1.511697093
690	1.511472162
691	1.511385885
692	1.511301177
693	1.511169588
694	1.510950997
695	1.510869243
696	1.510741202
697	1.510566776
698	1.510442064
699	1.510232757
700	1.510064119
701	1.509943679
702	1.509741252
703	1.509578176
704	1.509417553
705	1.509335296
706	1.509141242
707	1.509060626
708	1.508904962
709	1.508825638
710	1.508637912
711	1.508560162
712	1.508409284
713	1.508260666
714	1.508184303
715	1.508038054
716	1.50789399
717	1.507818977
718	1.507677201
719	1.507603368
720	1.507430707
721	1.507355433
722	1.507186033
723	1.507112277
724	1.506976758
725	1.506843258
726	1.506773366
727	1.506641375
728	1.506572469
729	1.506442457
730	1.506365157
731	1.506237119
732	1.506170151
733	1.50604279
734	1.505967583
735	1.505842811
736	1.505777628
737	1.505653524
738	1.505589257
739	1.505438758
740	1.505361248
741	1.505290214
742	1.505169602
743	1.505107935
744	1.504989501
745	1.50492879
746	1.504799444
747	1.504731177
748	1.504615702
749	1.504556658
750	1.504442998
751	1.504331025
752	1.50425943
753	1.504146963
754	1.504089533
755	1.503967679
756	1.503902996
757	1.503847044
758	1.503739082
759	1.503671302
760	1.503563362
761	1.503508844
762	1.503455079
763	1.503348821
764	1.503295804
765	1.503191189
766	1.503138907
767	1.503079272
768	1.502976386
769	1.502875031
770	1.502824202
771	1.502712341
772	1.502654426
773	1.502555585
774	1.502506139
775	1.50240743
776	1.502358668
777	1.502262379
778	1.502167521
779	1.502111748
780	1.502018318
781	1.501970983
782	1.501866347
783	1.501807985
784	1.501714987
785	1.501668832
786	1.501615922
787	1.50151479
788	1.501448803
789	1.501359858
790	1.501272231
791	1.501185902
792	1.501089221
793	1.501034036
794	1.500990373
795	1.500936581
796	1.500850443
797	1.500757038
798	1.500714456
799	1.500665674
800	1.500604802
801	1.500522648
802	1.500432059
803	1.500381065
804	1.500340615
805	1.500260507
806	1.500172513
807	1.500126299
808	1.500086939
809	1.500008789
810	1.499931795
811	1.499846939
812	1.499798671
813	1.499760392
814	1.499716488
815	1.499641416
816	1.499559073
817	1.499521821
818	1.499475888
819	1.499422176
820	1.499341691
821	1.499269411
822	1.499198197
823	1.49912045
824	1.499075845
825	1.499034872
826	1.498999914
827	1.498930467
828	1.498855
829	1.498812192
830	1.498778134
831	1.498710391
832	1.498668685
833	1.498599568
834	1.498527175
835	1.498493999
836	1.498445653
837	1.498374756
838	1.498310132
839	1.49824646
840	1.498208985
841	1.498140563
842	1.498078375
843	1.498046652
844	1.498007557
845	1.497946364
846	1.497880375
847	1.497820594
848	1.497789729
849	1.497751778
850	1.497687628
851	1.497629298
852	1.497571824
853	1.497515193
854	1.497453676
855	1.497423699
856	1.497389112
857	1.49735988
858	1.497323892
859	1.49726369
860	1.497208948
861	1.497155007
862	1.497126561
863	1.497068382
864	1.497015718
865	1.496982908
866	1.496955218
867	1.49692108
868	1.496864566
869	1.496813179
870	1.496762544
871	1.496735595
872	1.496680971
873	1.49663153
874	1.496598483
875	1.496549784
876	1.496497061
877	1.496449473
878	1.496423286
879	1.496392918
880	1.496367386
881	1.496316083
882	1.496284702
883	1.496238294
884	1.496213408
885	1.496184525
886	1.496134675
887	1.496089367
888	1.496063841
889	1.496019194
890	1.495971011
891	1.495947129
892	1.49590353
893	1.495878697
894	1.495831746
895	1.495785356
896	1.49576215
897	1.495738003
898	1.495695832
899	1.495673268
900	1.495628086
901	1.495604592
902	1.495563404
903	1.495540249
904	1.495495923
905	1.495452434
906	1.495430781
907	1.495408258
908	1.495365134
909	1.495344055
910	1.495301607
911	1.495259892
912	1.495218573
913	1.495177892
914	1.495137855
915	1.495115978
916	1.49507638
917	1.495037389
918	1.494998968
919	1.494978469
920	1.49494051
921	1.494903131
922	1.494866323
923	1.494829841
924	1.494808586
925	1.494772744
926	1.494737447
927	1.494702422
928	1.494682473
929	1.494661793
930	1.494627421
931	1.494593569
932	1.494560228
933	1.49452696
934	1.494507537
935	1.494475061
936	1.494443074
937	1.494411109
938	1.494391001
939	1.49437118
940	1.49434002
941	1.494309327
942	1.494278632
943	1.494259952
944	1.494240658
945	1.494210754
946	1.494181297
947	1.49415228
948	1.494123102
949	1.494104092
950	1.494086121
951	1.494057845
952	1.494029989
953	1.494001949
954	1.493983439
955	1.493956291
956	1.493938042
957	1.493911295
958	1.493884356
959	1.493866372
960	1.493840301
961	1.49382322
962	1.493797534
963	1.493772228
964	1.493746601
965	1.493729083
966	1.493711813
967	1.49368714
968	1.49366283
969	1.493638201
970	1.493621758
971	1.493604934
972	1.493581231
973	1.493557877
974	1.493534195
975	1.493517608
976	1.49350178
977	1.493479006
978	1.493456566
979	1.493440399
980	1.493418284
981	1.493395748
982	1.49337981
983	1.493358243
984	1.493343002
985	1.493321748
986	1.493295315
987	1.493279761
988	1.493264425
989	1.493249763
990	1.49322838
991	1.493213442
992	1.493188466
993	1.493173725
994	1.493153446
995	1.493128444
996	1.49311435
997	1.493099964
998	1.49308578
999	1.493065485
