,foodcourt,restaurant,restaurantmenuitem,date,forecast,r2,actual,error,MAPE,accuracy_prophet
35,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-12,5,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
36,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-13,1,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
37,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-14,3,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
38,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-15,1,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
39,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-16,1,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
40,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-17,0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857
41,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-18,0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857
42,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-12,18,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
43,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-13,19,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
44,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-14,12,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
45,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-15,13,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
46,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-16,5,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
47,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-17,0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857
48,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-18,0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857
49,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,2024-02-12,23,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
50,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,2024-02-13,32,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
51,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,2024-02-14,15,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
52,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,2024-02-15,18,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
53,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,2024-02-16,8,0.0,0.0,1.0,0.7142857142857143,0.2857142857142857
54,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,2024-02-17,0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857
