,foodcourt,restaurant,restaurantmenuitem,date,actual,forecast_rf_lag,r2,mape,accuracy_rf_lag,model
0,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,2024-02-12,0.0,20.0,0.0,3.667216839430261e+16,0.5714285714285714,randomforest-lag
1,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,2024-02-13,0.0,1.0,0.0,3.667216839430261e+16,0.5714285714285714,randomforest-lag
2,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,2024-02-14,0.0,0.0,0.0,3.667216839430261e+16,0.5714285714285714,randomforest-lag
3,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,2024-02-15,0.0,0.0,0.0,3.667216839430261e+16,0.5714285714285714,randomforest-lag
4,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,2024-02-16,0.0,36.0,0.0,3.667216839430261e+16,0.5714285714285714,randomforest-lag
5,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,2024-02-17,0.0,0.0,0.0,3.667216839430261e+16,0.5714285714285714,randomforest-lag
6,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,2024-02-18,0.0,0.0,0.0,3.667216839430261e+16,0.5714285714285714,randomforest-lag
7,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,2024-02-12,0.0,5.0,0.0,5.468656690378459e+16,0.2857142857142857,randomforest-lag
8,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,2024-02-13,0.0,8.0,0.0,5.468656690378459e+16,0.2857142857142857,randomforest-lag
9,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,2024-02-14,0.0,9.0,0.0,5.468656690378459e+16,0.2857142857142857,randomforest-lag
10,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,2024-02-15,0.0,14.0,0.0,5.468656690378459e+16,0.2857142857142857,randomforest-lag
11,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,2024-02-16,0.0,49.0,0.0,5.468656690378459e+16,0.2857142857142857,randomforest-lag
12,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,2024-02-17,0.0,0.0,0.0,5.468656690378459e+16,0.2857142857142857,randomforest-lag
13,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,2024-02-18,0.0,0.0,0.0,5.468656690378459e+16,0.2857142857142857,randomforest-lag
14,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,2024-02-12,0.0,20.0,0.0,5.404319552844595e+16,0.2857142857142857,randomforest-lag
15,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,2024-02-13,0.0,18.0,0.0,5.404319552844595e+16,0.2857142857142857,randomforest-lag
16,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,2024-02-14,0.0,5.0,0.0,5.404319552844595e+16,0.2857142857142857,randomforest-lag
17,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,2024-02-15,0.0,8.0,0.0,5.404319552844595e+16,0.2857142857142857,randomforest-lag
18,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,2024-02-16,0.0,33.0,0.0,5.404319552844595e+16,0.2857142857142857,randomforest-lag
19,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,2024-02-17,0.0,0.0,0.0,5.404319552844595e+16,0.2857142857142857,randomforest-lag
20,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,2024-02-18,0.0,0.0,0.0,5.404319552844595e+16,0.2857142857142857,randomforest-lag
21,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,2024-02-12,0.0,7.0,0.0,1.9301141260159268e+16,0.2857142857142857,randomforest-lag
22,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,2024-02-13,0.0,4.0,0.0,1.9301141260159268e+16,0.2857142857142857,randomforest-lag
23,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,2024-02-14,0.0,2.0,0.0,1.9301141260159268e+16,0.2857142857142857,randomforest-lag
24,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,2024-02-15,0.0,2.0,0.0,1.9301141260159268e+16,0.2857142857142857,randomforest-lag
