date,foodcourtid,restaurant,menuitemid,FCRI_total_count,forecast_lr,r2_lr,accuracy_lr,forecast_xgb_multi,r2_xgb_multi,accuracy_xgb_multi,forecast_xgb_norm,r2_xgb_norm,accuracy_xgb_norm,forecast_xgb_lag,r2_xgb_lag,accuracy_xgb_lag,forecast_rf_lag,r2_rf_lag,accuracy_rf_lag
2024-01-29,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,0.0,16,-1.1288722589627564,0.2736632736632736,0,-0.5709189001044204,0.5714285714285714,5.0,-0.43752175426383566,0.03474903474903468,0.0,-0.5709189001044204,0.5714285714285714,4.0,-0.3485903237034458,0.030888030888030826
2024-01-30,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,0.0,28,-1.1288722589627564,0.2736632736632736,0,-0.5709189001044204,0.5714285714285714,8.0,-0.43752175426383566,0.03474903474903468,0.0,-0.5709189001044204,0.5714285714285714,7.0,-0.3485903237034458,0.030888030888030826
2024-01-31,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,0.0,31,-1.1288722589627564,0.2736632736632736,0,-0.5709189001044204,0.5714285714285714,14.0,-0.43752175426383566,0.03474903474903468,0.0,-0.5709189001044204,0.5714285714285714,7.0,-0.3485903237034458,0.030888030888030826
2024-02-01,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,0.0,33,-1.1288722589627564,0.2736632736632736,0,-0.5709189001044204,0.5714285714285714,9.0,-0.43752175426383566,0.03474903474903468,0.0,-0.5709189001044204,0.5714285714285714,7.0,-0.3485903237034458,0.030888030888030826
2024-02-02,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,37.0,35,-1.1288722589627564,0.2736632736632736,0,-0.5709189001044204,0.5714285714285714,9.0,-0.43752175426383566,0.03474903474903468,0.0,-0.5709189001044204,0.5714285714285714,8.0,-0.3485903237034458,0.030888030888030826
2024-02-03,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,33.0,34,-1.1288722589627564,0.2736632736632736,0,-0.5709189001044204,0.5714285714285714,0.0,-0.43752175426383566,0.03474903474903468,0.0,-0.5709189001044204,0.5714285714285714,0.0,-0.3485903237034458,0.030888030888030826
2024-02-04,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,11.0,31,-1.1288722589627564,0.2736632736632736,0,-0.5709189001044204,0.5714285714285714,0.0,-0.43752175426383566,0.03474903474903468,0.0,-0.5709189001044204,0.5714285714285714,0.0,-0.3485903237034458,0.030888030888030826
2024-01-29,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,0.0,0,0.6354758316912019,0.4663426484457165,0,-0.5925872261504583,0.5714285714285714,11.0,-0.5185464240176194,0.06271777003484325,0.0,-0.5925872261504583,0.5714285714285714,17.0,-0.6197693288512813,0.132404181184669
2024-01-30,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,0.0,3,0.6354758316912019,0.4663426484457165,0,-0.5925872261504583,0.5714285714285714,17.0,-0.5185464240176194,0.06271777003484325,0.0,-0.5925872261504583,0.5714285714285714,13.0,-0.6197693288512813,0.132404181184669
2024-01-31,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,0.0,12,0.6354758316912019,0.4663426484457165,0,-0.5925872261504583,0.5714285714285714,16.0,-0.5185464240176194,0.06271777003484325,0.0,-0.5925872261504583,0.5714285714285714,18.0,-0.6197693288512813,0.132404181184669
