date,foodcourtid,restaurant,menuitemid,FCRI_total_count,forecast_lr,r2_lr,accuracy_lr,forecast_xgb_multi,r2_xgb_multi,accuracy_xgb_multi,forecast_xgb_norm,r2_xgb_norm,accuracy_xgb_norm,forecast_xgb_lag,r2_xgb_lag,accuracy_xgb_lag,forecast_rf_lag,r2_rf_lag,accuracy_rf_lag,forecast_prophet_lag2,r2_prophet_lag2,accuracy_prophet_lag2,forecast_prophet_lag3,r2_prophet_lag3,accuracy_prophet_lag3
2024-01-29,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,0.0,0,-1205.7836756004176,0.1428571428571429,0,-0.5709189001044204,0.5714285714285714,8.0,-0.5234075878872257,0.05019305019305009,0.0,-0.5709189001044204,0.5714285714285714,0.0,-0.48807866341802986,0.2934362934362935,21,-1.5430734423947094,0.10810810810810811,23,-2.016968325791855,0.12355212355212353
2024-01-30,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,0.0,48,-1205.7836756004176,0.1428571428571429,0,-0.5709189001044204,0.5714285714285714,11.0,-0.5234075878872257,0.05019305019305009,0.0,-0.5709189001044204,0.5714285714285714,0.0,-0.48807866341802986,0.2934362934362935,25,-1.5430734423947094,0.10810810810810811,28,-2.016968325791855,0.12355212355212353
2024-01-31,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,0.0,191,-1205.7836756004176,0.1428571428571429,0,-0.5709189001044204,0.5714285714285714,19.0,-0.5234075878872257,0.05019305019305009,0.0,-0.5709189001044204,0.5714285714285714,2.0,-0.48807866341802986,0.2934362934362935,33,-1.5430734423947094,0.10810810810810811,38,-2.016968325791855,0.12355212355212353
2024-02-01,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,0.0,430,-1205.7836756004176,0.1428571428571429,0,-0.5709189001044204,0.5714285714285714,13.0,-0.5234075878872257,0.05019305019305009,0.0,-0.5709189001044204,0.5714285714285714,2.0,-0.48807866341802986,0.2934362934362935,27,-1.5430734423947094,0.10810810810810811,31,-2.016968325791855,0.12355212355212353
2024-02-02,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,37.0,673,-1205.7836756004176,0.1428571428571429,0,-0.5709189001044204,0.5714285714285714,13.0,-0.5234075878872257,0.05019305019305009,0.0,-0.5709189001044204,0.5714285714285714,2.0,-0.48807866341802986,0.2934362934362935,28,-1.5430734423947094,0.10810810810810811,32,-2.016968325791855,0.12355212355212353
2024-02-03,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,33.0,855,-1205.7836756004176,0.1428571428571429,0,-0.5709189001044204,0.5714285714285714,0.0,-0.5234075878872257,0.05019305019305009,0.0,-0.5709189001044204,0.5714285714285714,0.0,-0.48807866341802986,0.2934362934362935,0,-1.5430734423947094,0.10810810810810811,0,-2.016968325791855,0.12355212355212353
2024-02-04,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,11.0,834,-1205.7836756004176,0.1428571428571429,0,-0.5709189001044204,0.5714285714285714,0.0,-0.5234075878872257,0.05019305019305009,0.0,-0.5709189001044204,0.5714285714285714,0.0,-0.48807866341802986,0.2934362934362935,0,-1.5430734423947094,0.10810810810810811,0,-2.016968325791855,0.12355212355212353
2024-01-29,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,0.0,0,-0.5925872261504583,0.5714285714285714,1,-0.5359916541091925,0.010367376094302161,16.0,-0.6315347165874583,0.08710801393728218,0.0,-0.5925872261504583,0.5714285714285714,5.0,-0.5495827054596041,0.013937282229965153,46,-2.3454271473281567,0.08710801393728218,52,-2.909354352613888,0.0662020905923344
2024-01-30,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,0.0,0,-0.5925872261504583,0.5714285714285714,1,-0.5359916541091925,0.010367376094302161,24.0,-0.6315347165874583,0.08710801393728218,0.0,-0.5925872261504583,0.5714285714285714,5.0,-0.5495827054596041,0.013937282229965153,55,-2.3454271473281567,0.08710801393728218,64,-2.909354352613888,0.0662020905923344
2024-01-31,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,0.0,0,-0.5925872261504583,0.5714285714285714,1,-0.5359916541091925,0.010367376094302161,23.0,-0.6315347165874583,0.08710801393728218,0.0,-0.5925872261504583,0.5714285714285714,5.0,-0.5495827054596041,0.013937282229965153,53,-2.3454271473281567,0.08710801393728218,63,-2.909354352613888,0.0662020905923344
