date,foodcourtid,restaurant,menuitemid,FCRI_total_count,forecast_lr,r2_lr,accuracy_lr,forecast_xgb_multi,r2_xgb_multi,accuracy_xgb_multi,forecast_xgb_norm,r2_xgb_norm,accuracy_xgb_norm,forecast_xgb_lag,r2_xgb_lag,accuracy_xgb_lag,forecast_rf_lag,r2_rf_lag,accuracy_rf_lag,forecast_prophet_lag2,r2_prophet_lag2,accuracy_prophet_lag2,forecast_prophet_lag3,r2_prophet_lag3,accuracy_prophet_lag3
2024-02-12,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,0.0,0,0.0,0.4285714285714286,47,0.0,0.4285714285714286,9.0,0.0,0.2857142857142857,45.0,0.0,0.2857142857142857,20.0,0.0,0.2857142857142857,19,0.0,0.2857142857142857,24,0.0,0.2857142857142857
2024-02-13,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,0.0,0,0.0,0.4285714285714286,47,0.0,0.4285714285714286,12.0,0.0,0.2857142857142857,46.0,0.0,0.2857142857142857,20.0,0.0,0.2857142857142857,21,0.0,0.2857142857142857,27,0.0,0.2857142857142857
2024-02-14,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,0.0,0,0.0,0.4285714285714286,15,0.0,0.4285714285714286,11.0,0.0,0.2857142857142857,-1.0,0.0,0.2857142857142857,3.0,0.0,0.2857142857142857,21,0.0,0.2857142857142857,27,0.0,0.2857142857142857
2024-02-15,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,0.0,12,0.0,0.4285714285714286,0,0.0,0.4285714285714286,14.0,0.0,0.2857142857142857,6.0,0.0,0.2857142857142857,2.0,0.0,0.2857142857142857,24,0.0,0.2857142857142857,31,0.0,0.2857142857142857
2024-02-16,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,0.0,44,0.0,0.4285714285714286,0,0.0,0.4285714285714286,23.0,0.0,0.2857142857142857,20.0,0.0,0.2857142857142857,24.0,0.0,0.2857142857142857,33,0.0,0.2857142857142857,39,0.0,0.2857142857142857
2024-02-17,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,0.0,78,0.0,0.4285714285714286,0,0.0,0.4285714285714286,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0,0.0,0.2857142857142857,0,0.0,0.2857142857142857
2024-02-18,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,0.0,98,0.0,0.4285714285714286,3,0.0,0.4285714285714286,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0,0.0,0.2857142857142857,0,0.0,0.2857142857142857
2024-02-12,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,0.0,0,0.0,0.4285714285714286,8,0.0,0.0,3.0,0.0,0.2857142857142857,8.0,0.0,0.2857142857142857,4.0,0.0,0.4285714285714286,5,0.0,0.2857142857142857,8,0.0,0.2857142857142857
2024-02-13,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,0.0,0,0.0,0.4285714285714286,8,0.0,0.0,7.0,0.0,0.2857142857142857,9.0,0.0,0.2857142857142857,4.0,0.0,0.4285714285714286,10,0.0,0.2857142857142857,14,0.0,0.2857142857142857
2024-02-14,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,0.0,0,0.0,0.4285714285714286,8,0.0,0.0,6.0,0.0,0.2857142857142857,2.0,0.0,0.2857142857142857,1.0,0.0,0.4285714285714286,9,0.0,0.2857142857142857,12,0.0,0.2857142857142857
2024-02-15,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,0.0,12,0.0,0.4285714285714286,8,0.0,0.0,9.0,0.0,0.2857142857142857,1.0,0.0,0.2857142857142857,0.0,0.0,0.4285714285714286,11,0.0,0.2857142857142857,15,0.0,0.2857142857142857
2024-02-16,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,0.0,30,0.0,0.4285714285714286,10,0.0,0.0,11.0,0.0,0.2857142857142857,4.0,0.0,0.2857142857142857,3.0,0.0,0.4285714285714286,13,0.0,0.2857142857142857,18,0.0,0.2857142857142857
2024-02-17,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,0.0,47,0.0,0.4285714285714286,10,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.4285714285714286,0,0.0,0.2857142857142857,0,0.0,0.2857142857142857
2024-02-18,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,0.0,52,0.0,0.4285714285714286,10,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.4285714285714286,0,0.0,0.2857142857142857,0,0.0,0.2857142857142857
2024-02-12,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,132,0.0,0.0,0,0.0,0.7142857142857143,31.0,0.0,0.2857142857142857,89.0,0.0,0.5714285714285714,94.0,0.0,0.2857142857142857,78,0.0,0.2857142857142857,89,0.0,0.2857142857142857
2024-02-13,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,209,0.0,0.0,0,0.0,0.7142857142857143,46.0,0.0,0.2857142857142857,84.0,0.0,0.5714285714285714,91.0,0.0,0.2857142857142857,93,0.0,0.2857142857142857,107,0.0,0.2857142857142857
2024-02-14,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,278,0.0,0.0,0,0.0,0.7142857142857143,59.0,0.0,0.2857142857142857,6.0,0.0,0.5714285714285714,33.0,0.0,0.2857142857142857,106,0.0,0.2857142857142857,122,0.0,0.2857142857142857
2024-02-15,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,313,0.0,0.0,0,0.0,0.7142857142857143,72.0,0.0,0.2857142857142857,0.0,0.0,0.5714285714285714,21.0,0.0,0.2857142857142857,118,0.0,0.2857142857142857,137,0.0,0.2857142857142857
2024-02-16,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,355,0.0,0.0,0,0.0,0.7142857142857143,79.0,0.0,0.2857142857142857,0.0,0.0,0.5714285714285714,22.0,0.0,0.2857142857142857,129,0.0,0.2857142857142857,142,0.0,0.2857142857142857
2024-02-17,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,405,0.0,0.0,15,0.0,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0,0.0,0.2857142857142857,0,0.0,0.2857142857142857
2024-02-18,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,449,0.0,0.0,99,0.0,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0,0.0,0.2857142857142857,0,0.0,0.2857142857142857
2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.0,2,0.0,0.5714285714285714,0,1.0,1.0,1.0,0.0,0.7142857142857143,1.0,0.0,0.7142857142857143,1.0,0.0,0.8571428571428572,2,0.0,0.7142857142857143,2,0.0,0.7142857142857143
2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.0,1,0.0,0.5714285714285714,0,1.0,1.0,0.0,0.0,0.7142857142857143,-1.0,0.0,0.7142857142857143,0.0,0.0,0.8571428571428572,0,0.0,0.7142857142857143,0,0.0,0.7142857142857143
2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.0,1,0.0,0.5714285714285714,0,1.0,1.0,1.0,0.0,0.7142857142857143,0.0,0.0,0.7142857142857143,0.0,0.0,0.8571428571428572,1,0.0,0.7142857142857143,2,0.0,0.7142857142857143
2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.0,0,0.0,0.5714285714285714,0,1.0,1.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.7142857142857143,0.0,0.0,0.8571428571428572,0,0.0,0.7142857142857143,0,0.0,0.7142857142857143
2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.0,0,0.0,0.5714285714285714,0,1.0,1.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.7142857142857143,0.0,0.0,0.8571428571428572,0,0.0,0.7142857142857143,0,0.0,0.7142857142857143
2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.0,0,0.0,0.5714285714285714,0,1.0,1.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.7142857142857143,0.0,0.0,0.8571428571428572,0,0.0,0.7142857142857143,0,0.0,0.7142857142857143
2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.0,0,0.0,0.5714285714285714,0,1.0,1.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.7142857142857143,0.0,0.0,0.8571428571428572,0,0.0,0.7142857142857143,0,0.0,0.7142857142857143
2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,0.0,8,0.0,0.4285714285714286,0,1.0,1.0,5.0,0.0,0.4285714285714286,0.0,1.0,1.0,2.0,0.0,0.7142857142857143,9,0.0,0.2857142857142857,8,0.0,0.2857142857142857
2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,0.0,5,0.0,0.4285714285714286,0,1.0,1.0,5.0,0.0,0.4285714285714286,0.0,1.0,1.0,1.0,0.0,0.7142857142857143,9,0.0,0.2857142857142857,8,0.0,0.2857142857142857
