,foodcourt,restaurant,restaurantmenuitem,deepar_uni,deepar_multi,xgb_norm,xgb_lag,rf_lag,prophet,prophet_multi,xgb_multi,rf_multi,lr,max_accuracy,best_model,max_accuracy_segment,sales_segment,rank_segment,total_count,menuitemname
0,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,0.571428571428571,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.142857142857142,0.285714285714285,0.571428571428571,1.0,deepar_multi,>95,>100,1-100,999,Veg Biryani
1,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,0.428571428571428,0.979591836734693,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.714285714285714,0.285714285714285,0.428571428571428,0.979591836734693,deepar_multi,>95,50-75,100-200,1220,Combo Rice (Bisibele Bath + Curd Rice)
2,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,0.571428571428571,0.967490749709594,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.428571428571428,0.285714285714285,0.428571428571428,0.967490749709594,deepar_multi,>95,50-75,100-200,791,Egg Biryani
3,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,0.714285714285714,0.966152868266327,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.428571428571428,0.428571428571428,0.966152868266327,deepar_multi,>95,10-25,400-500,295,Mutton Biryani
4,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.428571428571428,0.956709956709956,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.714285714285714,0.285714285714285,0.0,0.956709956709956,deepar_multi,>95,>100,1-100,2866,Chicken Biryani
5,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.857142857142857,0.953823154572002,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.2857142857142857,1.0,0.857142857142857,0.571428571428571,1.0,xgb_multi,>95,10-25,>500,40,Biryani Raita
6,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,0.571428571428571,0.952953813104189,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.2857142857142857,0.2857142857142857,1.0,0.714285714285714,0.428571428571428,1.0,xgb_multi,>95,25-50,200-300,243,Special Combo
7,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,0.571428571428571,0.952380952380952,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.2857142857142857,0.2857142857142857,1.0,0.714285714285714,0.428571428571428,1.0,xgb_multi,>95,50-75,100-200,341,Micro Meal
8,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,0.714285714285714,0.951497792099295,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.2857142857142857,0.2857142857142857,1.0,0.571428571428571,0.428571428571428,1.0,xgb_multi,>95,25-50,300-400,201,Thali(limited)
9,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,0.714285714285714,0.950947949449952,0.8571428571428572,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.857142857142857,0.857142857142857,0.571428571428571,0.950947949449952,deepar_multi,>95,10-25,>500,39,Thali(limited)
10,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,0.857142857142857,0.949852304484712,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.2857142857142857,0.2857142857142857,0.857142857142857,0.857142857142857,0.571428571428571,0.949852304484712,deepar_multi,90-95,25-50,200-300,46,Special Combo
11,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,0.857142857142857,0.945265984548824,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.2857142857142857,0.2857142857142857,0.857142857142857,0.857142857142857,0.428571428571428,0.945265984548824,deepar_multi,90-95,25-50,200-300,86,Micro Meal
12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,0.788796745534367,0.944427090522372,0.453672847412262,0.6706177194900187,0.9197988615795352,0.7987859497306121,0.6867722068499671,0.494883642877855,0.911687341011288,0.414908193397905,0.944427090522372,deepar_multi,90-95,50-75,100-200,462,Micro Meal
13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,0.814963202861664,0.944312758861984,0.4385815679520112,0.702674138441261,0.8209781278271513,0.7538323958418685,0.6075261460020122,0.600965113604143,0.885002642546147,0.421838215356389,0.944312758861984,deepar_multi,90-95,25-50,200-300,303,Special Combo
14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422294,0.865312188342423,0.944084619084619,0.46214302663105633,0.6949520169987743,0.8065506296932621,0.8488959181889383,0.9395002952662838,0.779256785326247,0.795129801199262,0.370093539645073,0.944084619084619,deepar_multi,90-95,25-50,200-300,289,Thali(limited)
15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422298,0.571428571428571,0.939453361555797,0.5902255639097744,0.6015037593984962,0.5977443609022557,0.3360323886639677,0.4956622325043377,0.593984962406015,0.578947368421052,0.576923076923076,0.939453361555797,deepar_multi,90-95,25-50,200-300,68,Biryani Raita
16,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c4c,0.792857142857142,0.938798547252519,0.7071428571428572,0.6928571428571428,0.7285714285714286,0.7285714285714286,0.8,0.628571428571428,0.592857142857142,0.235714285714285,0.938798547252519,deepar_multi,90-95,<10,>500,134,Combo Veg Noodles
17,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c5c,0.741496598639455,0.935060135165177,0.6621315192743764,0.6609977324263039,0.6405895691609977,0.573469387755102,0.5941043083900227,0.712925170068027,0.728571428571428,0.411111111111111,0.935060135165177,deepar_multi,90-95,<10,>500,144,Combo Chicken Rice
18,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c79,0.69090909090909,0.931216479105055,0.6834879406307978,0.6244897959183673,0.703339517625232,0.7215213358070501,0.6834879406307978,0.650092764378478,0.681261595547309,0.569202226345083,0.931216479105055,deepar_multi,90-95,<10,>500,193,Combo Veg Rice
19,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c88,0.631746031746031,0.930966829900731,0.5396825396825397,0.38095238095238104,0.5523809523809524,0.5396825396825397,0.4126984126984128,0.371428571428571,0.657142857142857,0.301587301587301,0.930966829900731,deepar_multi,90-95,<10,>500,81,Combo Chicken Noodles
20,5e454d189475ce03ce996662,634ceb56ac2f504b6499bb57,658d255a09d576001b36b62e,0.623469387755102,0.929706071260267,0.763095238095238,0.6869047619047619,0.7022108843537415,0.610374149659864,0.5899659863945579,0.754251700680272,0.810714285714285,0.285714285714285,0.929706071260267,deepar_multi,90-95,<10,>500,216,Chicken Dum Biryani 
21,5e454d189475ce03ce996662,634ceb56ac2f504b6499bb57,658d255a09d576001b36b630,0.666666666666666,0.929421768707483,0.5238095238095238,0.47619047619047616,0.6190476190476191,0.6428571428571428,0.6666666666666667,0.666666666666666,0.642857142857142,0.547619047619047,0.929421768707483,deepar_multi,90-95,<10,>500,60,Egg Thali
22,5e454d189475ce03ce996662,634ceb56ac2f504b6499bb57,658d255a09d576001b36b63a,0.571428571428571,0.926406926406926,0.5714285714285715,0.3809523809523808,0.5238095238095237,0.5714285714285714,0.3809523809523808,0.333333333333333,0.428571428571428,0.142857142857142,0.926406926406926,deepar_multi,90-95,<10,>500,66,Paneer Veg Biryani
23,5e454d189475ce03ce996662,634ceb56ac2f504b6499bb57,658d255a09d576001b36b647,0.285714285714285,0.9233418367346931,0.5714285714285714,0.5714285714285714,0.4285714285714286,0.2857142857142857,0.2857142857142857,0.285714285714285,0.285714285714285,0.0,0.9233418367346931,deepar_multi,90-95,<10,>500,62,Chicken Biryani 
24,5e454d189475ce03ce996662,634ceb56ac2f504b6499bb57,658d255a09d576001b36b648,0.321428571428571,0.923076923076923,0.3928571428571429,0.3928571428571429,0.3928571428571429,0.3214285714285714,0.2857142857142857,0.428571428571428,0.392857142857142,0.428571428571428,0.923076923076923,deepar_multi,90-95,<10,>500,123,Egg Biryani
25,5e454d189475ce03ce996662,634ceb56ac2f504b6499bb57,658d255a09d576001b36b652,0.744047619047619,0.921704008980389,0.8535714285714286,0.8690476190476191,0.5630952380952381,0.6726190476190477,0.7392857142857143,0.588095238095238,0.684523809523809,0.345238095238095,0.921704008980389,deepar_multi,90-95,<10,>500,114, Veg Biryani
26,5e454d189475ce03ce996662,634ceb56ac2f504b6499bb57,658d255a09d576001b36b653,0.357142857142857,0.921675038968272,0.4285714285714286,0.7142857142857143,0.5714285714285714,0.5,0.5,0.571428571428571,0.571428571428571,0.142857142857142,0.921675038968272,deepar_multi,90-95,<10,>500,67,Mobc Special Biryani(Boneless)
