,date,foodcourt,restaurant,restaurantmenuitem,actual,forecast_xgb_norm,r2,mape,model,accuracy_xgb_norm
31,2024-02-15,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,21.0,0.0,1.4218507394983995e+17,xgboost-norm,0.2857142857142857
32,2024-02-16,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,81.0,0.0,1.4218507394983995e+17,xgboost-norm,0.2857142857142857
33,2024-02-17,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,0.0,0.0,1.4218507394983995e+17,xgboost-norm,0.2857142857142857
34,2024-02-18,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,0.0,0.0,1.4218507394983995e+17,xgboost-norm,0.2857142857142857
35,2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.0,3.0,0.0,3216856876693211.5,xgboost-norm,0.7142857142857143
36,2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.0,0.0,0.0,3216856876693211.5,xgboost-norm,0.7142857142857143
37,2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.0,2.0,0.0,3216856876693211.5,xgboost-norm,0.7142857142857143
38,2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.0,0.0,0.0,3216856876693211.5,xgboost-norm,0.7142857142857143
39,2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.0,0.0,0.0,3216856876693211.5,xgboost-norm,0.7142857142857143
40,2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.0,0.0,0.0,3216856876693211.5,xgboost-norm,0.7142857142857143
41,2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.0,0.0,0.0,3216856876693211.5,xgboost-norm,0.7142857142857143
42,2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,0.0,12.0,0.0,2.444811226286841e+16,xgboost-norm,0.4285714285714286
43,2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,0.0,13.0,0.0,2.444811226286841e+16,xgboost-norm,0.4285714285714286
44,2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,0.0,6.0,0.0,2.444811226286841e+16,xgboost-norm,0.4285714285714286
45,2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,0.0,7.0,0.0,2.444811226286841e+16,xgboost-norm,0.4285714285714286
46,2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,0.0,0.0,0.0,2.444811226286841e+16,xgboost-norm,0.4285714285714286
47,2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,0.0,0.0,0.0,2.444811226286841e+16,xgboost-norm,0.4285714285714286
48,2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,0.0,0.0,0.0,2.444811226286841e+16,xgboost-norm,0.4285714285714286
49,2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,0.0,15.0,0.0,3.5385425643625324e+16,xgboost-norm,0.4285714285714286
50,2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,0.0,24.0,0.0,3.5385425643625324e+16,xgboost-norm,0.4285714285714286
51,2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,0.0,7.0,0.0,3.5385425643625324e+16,xgboost-norm,0.4285714285714286
52,2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,0.0,9.0,0.0,3.5385425643625324e+16,xgboost-norm,0.4285714285714286
53,2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,0.0,0.0,0.0,3.5385425643625324e+16,xgboost-norm,0.4285714285714286
54,2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,0.0,0.0,0.0,3.5385425643625324e+16,xgboost-norm,0.4285714285714286
55,2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,0.0,0.0,0.0,3.5385425643625324e+16,xgboost-norm,0.4285714285714286
56,2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,0.0,10.0,0.0,1.994451263549791e+16,xgboost-norm,0.4285714285714286
57,2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,0.0,13.0,0.0,1.994451263549791e+16,xgboost-norm,0.4285714285714286
58,2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,0.0,3.0,0.0,1.994451263549791e+16,xgboost-norm,0.4285714285714286
59,2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,0.0,5.0,0.0,1.994451263549791e+16,xgboost-norm,0.4285714285714286
60,2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,0.0,0.0,0.0,1.994451263549791e+16,xgboost-norm,0.4285714285714286
61,2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,0.0,0.0,0.0,1.994451263549791e+16,xgboost-norm,0.4285714285714286
62,2024-02-18,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,0.0,0.0,0.0,1.994451263549791e+16,xgboost-norm,0.4285714285714286
63,2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,0.0,0.0,0.0,3216856876693211.5,xgboost-norm,0.8571428571428572
64,2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,0.0,0.0,0.0,3216856876693211.5,xgboost-norm,0.8571428571428572
65,2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,0.0,5.0,0.0,3216856876693211.5,xgboost-norm,0.8571428571428572
66,2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,0.0,0.0,0.0,3216856876693211.5,xgboost-norm,0.8571428571428572
67,2024-02-16,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,0.0,0.0,0.0,3216856876693211.5,xgboost-norm,0.8571428571428572
68,2024-02-17,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,0.0,0.0,0.0,3216856876693211.5,xgboost-norm,0.8571428571428572
