,foodcourt,restaurant,restaurantmenuitem,date,actual,forecast_rf_lag,r2,mape,accuracy_lgb_lag,model
32,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,2024-02-16,0.0,68.0,0.0,2.1874626761513837e+17,0.2857142857142857,lgb_lag
33,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,2024-02-17,0.0,0.0,0.0,2.1874626761513837e+17,0.2857142857142857,lgb_lag
34,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,2024-02-18,0.0,0.0,0.0,2.1874626761513837e+17,0.2857142857142857,lgb_lag
35,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-12,0.0,0.0,1.0,0.0,1.0,lgb_lag
36,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-13,0.0,0.0,1.0,0.0,1.0,lgb_lag
37,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-14,0.0,0.0,1.0,0.0,1.0,lgb_lag
38,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-15,0.0,0.0,1.0,0.0,1.0,lgb_lag
39,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-16,0.0,0.0,1.0,0.0,1.0,lgb_lag
40,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-17,0.0,0.0,1.0,0.0,1.0,lgb_lag
41,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,2024-02-18,0.0,0.0,1.0,0.0,1.0,lgb_lag
42,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-12,0.0,5.0,0.0,1.6084284383466058e+16,0.2857142857142857,lgb_lag
43,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-13,0.0,5.0,0.0,1.6084284383466058e+16,0.2857142857142857,lgb_lag
44,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-14,0.0,5.0,0.0,1.6084284383466058e+16,0.2857142857142857,lgb_lag
45,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-15,0.0,5.0,0.0,1.6084284383466058e+16,0.2857142857142857,lgb_lag
46,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-16,0.0,5.0,0.0,1.6084284383466058e+16,0.2857142857142857,lgb_lag
47,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-17,0.0,0.0,0.0,1.6084284383466058e+16,0.2857142857142857,lgb_lag
48,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,2024-02-18,0.0,0.0,0.0,1.6084284383466058e+16,0.2857142857142857,lgb_lag
49,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,2024-02-12,0.0,8.0,0.0,2.5734855013545692e+16,0.2857142857142857,lgb_lag
50,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,2024-02-13,0.0,8.0,0.0,2.5734855013545692e+16,0.2857142857142857,lgb_lag
51,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,2024-02-14,0.0,8.0,0.0,2.5734855013545692e+16,0.2857142857142857,lgb_lag
52,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,2024-02-15,0.0,8.0,0.0,2.5734855013545692e+16,0.2857142857142857,lgb_lag
53,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,2024-02-16,0.0,8.0,0.0,2.5734855013545692e+16,0.2857142857142857,lgb_lag
54,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,2024-02-17,0.0,0.0,0.0,2.5734855013545692e+16,0.2857142857142857,lgb_lag
55,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,2024-02-18,0.0,0.0,0.0,2.5734855013545692e+16,0.2857142857142857,lgb_lag
56,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,2024-02-12,0.0,4.0,0.0,1.2867427506772846e+16,0.2857142857142857,lgb_lag
57,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,2024-02-13,0.0,4.0,0.0,1.2867427506772846e+16,0.2857142857142857,lgb_lag
58,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,2024-02-14,0.0,4.0,0.0,1.2867427506772846e+16,0.2857142857142857,lgb_lag
59,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,2024-02-15,0.0,4.0,0.0,1.2867427506772846e+16,0.2857142857142857,lgb_lag
60,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,2024-02-16,0.0,4.0,0.0,1.2867427506772846e+16,0.2857142857142857,lgb_lag
61,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,2024-02-17,0.0,0.0,0.0,1.2867427506772846e+16,0.2857142857142857,lgb_lag
62,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,2024-02-18,0.0,0.0,0.0,1.2867427506772846e+16,0.2857142857142857,lgb_lag
63,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,2024-02-12,0.0,0.0,1.0,0.0,1.0,lgb_lag
64,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,2024-02-13,0.0,0.0,1.0,0.0,1.0,lgb_lag
65,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,2024-02-14,0.0,0.0,1.0,0.0,1.0,lgb_lag
66,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,2024-02-15,0.0,0.0,1.0,0.0,1.0,lgb_lag
67,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,2024-02-16,0.0,0.0,1.0,0.0,1.0,lgb_lag
68,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,2024-02-17,0.0,0.0,1.0,0.0,1.0,lgb_lag
69,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,2024-02-18,0.0,0.0,1.0,0.0,1.0,lgb_lag
70,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,2024-02-12,0.0,1.0,0.0,3216856876693211.5,0.2857142857142857,lgb_lag
71,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,2024-02-13,0.0,1.0,0.0,3216856876693211.5,0.2857142857142857,lgb_lag
72,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,2024-02-14,0.0,1.0,0.0,3216856876693211.5,0.2857142857142857,lgb_lag
73,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,2024-02-15,0.0,1.0,0.0,3216856876693211.5,0.2857142857142857,lgb_lag
74,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,2024-02-16,0.0,1.0,0.0,3216856876693211.5,0.2857142857142857,lgb_lag
75,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,2024-02-17,0.0,0.0,0.0,3216856876693211.5,0.2857142857142857,lgb_lag
76,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,2024-02-18,0.0,0.0,0.0,3216856876693211.5,0.2857142857142857,lgb_lag
