date,foodcourtid,restaurant,menuitemid,FCRI_total_count,forecast_lr,r2_lr,accuracy_lr,forecast_xgb_multi,r2_xgb_multi,accuracy_xgb_multi,forecast_xgb_norm,r2_xgb_norm,accuracy_xgb_norm,forecast_xgb_lag,r2_xgb_lag,accuracy_xgb_lag,forecast_rf_lag,r2_rf_lag,accuracy_rf_lag
2024-02-12,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,0.0,92,0.0,0.1428571428571429,436,0.0,0.0,5.0,0.0,0.2857142857142857,435.0,0.0,0.2857142857142857,245.0,0.0,0.2857142857142857
2024-02-13,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,0.0,101,0.0,0.1428571428571429,436,0.0,0.0,7.0,0.0,0.2857142857142857,435.0,0.0,0.2857142857142857,246.0,0.0,0.2857142857142857
2024-02-14,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,0.0,101,0.0,0.1428571428571429,436,0.0,0.0,12.0,0.0,0.2857142857142857,435.0,0.0,0.2857142857142857,246.0,0.0,0.2857142857142857
2024-02-15,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,0.0,101,0.0,0.1428571428571429,436,0.0,0.0,8.0,0.0,0.2857142857142857,435.0,0.0,0.2857142857142857,246.0,0.0,0.2857142857142857
2024-02-16,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,0.0,100,0.0,0.1428571428571429,436,0.0,0.0,10.0,0.0,0.2857142857142857,435.0,0.0,0.2857142857142857,246.0,0.0,0.2857142857142857
2024-02-17,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,0.0,105,0.0,0.1428571428571429,436,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857
2024-02-18,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,0.0,0,0.0,0.1428571428571429,436,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857
2024-02-12,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,0.0,0,0.0,0.1428571428571429,11,0.0,0.0,10.0,0.0,0.2857142857142857,10.0,0.0,0.2857142857142857,7.0,0.0,0.2857142857142857
2024-02-13,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,0.0,3,0.0,0.1428571428571429,11,0.0,0.0,16.0,0.0,0.2857142857142857,10.0,0.0,0.2857142857142857,7.0,0.0,0.2857142857142857
2024-02-14,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,0.0,11,0.0,0.1428571428571429,11,0.0,0.0,15.0,0.0,0.2857142857142857,10.0,0.0,0.2857142857142857,8.0,0.0,0.2857142857142857
2024-02-15,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,0.0,20,0.0,0.1428571428571429,11,0.0,0.0,10.0,0.0,0.2857142857142857,10.0,0.0,0.2857142857142857,9.0,0.0,0.2857142857142857
2024-02-16,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,0.0,30,0.0,0.1428571428571429,11,0.0,0.0,18.0,0.0,0.2857142857142857,10.0,0.0,0.2857142857142857,10.0,0.0,0.2857142857142857
2024-02-17,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,0.0,35,0.0,0.1428571428571429,11,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857
2024-02-18,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,0.0,26,0.0,0.1428571428571429,11,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857
2024-02-12,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,0.0,8,0.0,0.0,41,0.0,0.0,8.0,0.0,0.2857142857142857,51.0,0.0,0.2857142857142857,23.0,0.0,0.2857142857142857
2024-02-13,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,0.0,11,0.0,0.0,41,0.0,0.0,10.0,0.0,0.2857142857142857,51.0,0.0,0.2857142857142857,24.0,0.0,0.2857142857142857
2024-02-14,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,0.0,15,0.0,0.0,41,0.0,0.0,10.0,0.0,0.2857142857142857,51.0,0.0,0.2857142857142857,25.0,0.0,0.2857142857142857
2024-02-15,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,0.0,21,0.0,0.0,41,0.0,0.0,11.0,0.0,0.2857142857142857,51.0,0.0,0.2857142857142857,26.0,0.0,0.2857142857142857
2024-02-16,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,0.0,26,0.0,0.0,41,0.0,0.0,17.0,0.0,0.2857142857142857,51.0,0.0,0.2857142857142857,31.0,0.0,0.2857142857142857
2024-02-17,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,0.0,26,0.0,0.0,41,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857
2024-02-18,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,0.0,4,0.0,0.0,41,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857
2024-02-12,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,0.0,0,0.0,0.1428571428571429,10,0.0,0.0,2.0,0.0,0.2857142857142857,12.0,0.0,0.2857142857142857,6.0,0.0,0.2857142857142857
2024-02-13,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,0.0,1,0.0,0.1428571428571429,10,0.0,0.0,6.0,0.0,0.2857142857142857,9.0,0.0,0.2857142857142857,6.0,0.0,0.2857142857142857
2024-02-14,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,0.0,2,0.0,0.1428571428571429,10,0.0,0.0,6.0,0.0,0.2857142857142857,9.0,0.0,0.2857142857142857,5.0,0.0,0.2857142857142857
2024-02-15,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,0.0,4,0.0,0.1428571428571429,10,0.0,0.0,7.0,0.0,0.2857142857142857,9.0,0.0,0.2857142857142857,6.0,0.0,0.2857142857142857
2024-02-16,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,0.0,6,0.0,0.1428571428571429,10,0.0,0.0,8.0,0.0,0.2857142857142857,10.0,0.0,0.2857142857142857,7.0,0.0,0.2857142857142857
2024-02-17,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,0.0,6,0.0,0.1428571428571429,10,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857
2024-02-18,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,0.0,1,0.0,0.1428571428571429,10,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857
2024-02-12,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,36,0.0,0.0,211,0.0,0.0,24.0,0.0,0.2857142857142857,203.0,0.0,0.2857142857142857,115.0,0.0,0.2857142857142857
2024-02-13,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,48,0.0,0.0,211,0.0,0.0,38.0,0.0,0.2857142857142857,203.0,0.0,0.2857142857142857,115.0,0.0,0.2857142857142857
2024-02-14,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,58,0.0,0.0,211,0.0,0.0,53.0,0.0,0.2857142857142857,203.0,0.0,0.2857142857142857,114.0,0.0,0.2857142857142857
2024-02-15,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,75,0.0,0.0,211,0.0,0.0,56.0,0.0,0.2857142857142857,203.0,0.0,0.2857142857142857,119.0,0.0,0.2857142857142857
2024-02-16,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,89,0.0,0.0,211,0.0,0.0,60.0,0.0,0.2857142857142857,204.0,0.0,0.2857142857142857,122.0,0.0,0.2857142857142857
2024-02-17,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,98,0.0,0.0,211,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857
2024-02-18,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,17,0.0,0.0,211,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857
2024-02-12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.0,1,0.0,0.0,0,1.0,1.0,1.0,0.0,0.8571428571428572,0.0,0.0,0.4285714285714286,3.0,0.0,0.8571428571428572
2024-02-13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.0,1,0.0,0.0,0,1.0,1.0,0.0,0.0,0.8571428571428572,-1.0,0.0,0.4285714285714286,0.0,0.0,0.8571428571428572
2024-02-14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.0,1,0.0,0.0,0,1.0,1.0,0.0,0.0,0.8571428571428572,-1.0,0.0,0.4285714285714286,0.0,0.0,0.8571428571428572
2024-02-15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,0.0,2,0.0,0.0,0,1.0,1.0,0.0,0.0,0.8571428571428572,-1.0,0.0,0.4285714285714286,0.0,0.0,0.8571428571428572
