,foodcourt,restaurant,restaurantmenuitem,average_sales,rank,sales_segment,rank_segment
48,5ff7314b1c2beb0c55c7e503,5ff732a31595960a72f28f6b,6566efbc746fa3001c0034b4,4.0,863,<10,>500
49,605037bf0fc3830497b79f23,605039a60fc3830497b79f2e,6438c982c387c7001bc5dfdc,15.11111111111111,494,10-25,400-500
50,605037bf0fc3830497b79f23,605039a60fc3830497b79f2e,6438c982c387c7001bc5dfe1,23.23076923076923,342,10-25,300-400
51,60503811f7ec2b05cc8cd439,60503a9ff7ec2b05cc8cd446,63fd7dccecea05001bcf80b6,25.0,321,25-50,300-400
52,60503811f7ec2b05cc8cd439,60503a9ff7ec2b05cc8cd446,63fd7dcdecea05001bcf80bf,15.454545454545455,490,10-25,400-500
53,60503811f7ec2b05cc8cd439,60503a9ff7ec2b05cc8cd446,63fd7dcdecea05001bcf80c1,7.75,673,<10,>500
54,60503811f7ec2b05cc8cd439,63c101e857c42200179bbeb0,6438eabb850c2c00177a1d31,11.578947368421053,557,10-25,>500
55,60503811f7ec2b05cc8cd439,64885729901600001bd61299,63fd7dccecea05001bcf806a,8.5,650,<10,>500
56,60503811f7ec2b05cc8cd439,64885729901600001bd61299,64885f42f07e1a001757cc63,119.36842105263158,32,>100,1-100
57,60503811f7ec2b05cc8cd439,64885729901600001bd61299,64885f5d901600001bd612ba,74.10526315789474,95,50-75,1-100
58,60503811f7ec2b05cc8cd439,64885729901600001bd61299,64885fb2901600001bd612c1,13.0,537,10-25,>500
59,60503811f7ec2b05cc8cd439,64885729901600001bd61299,651bc72deab5a8001b85e03a,11.68421052631579,553,10-25,>500
60,60503811f7ec2b05cc8cd439,64d320aeccff09001c48b8d4,64d3224c30769e001b1c4adb,28.0,274,25-50,200-300
61,60503811f7ec2b05cc8cd439,64d320aeccff09001c48b8d4,64d3229d30769e001b1c4ae3,38.5,206,25-50,200-300
62,6051d1f64ec6952ca5b45dba,6053268e4ec6952ca5b46330,619dbe52af9b4e30f3da5553,27.714285714285715,281,25-50,200-300
63,6051d1f64ec6952ca5b45dba,6053268e4ec6952ca5b46330,647d61cfb733e9001b5020d1,19.571428571428573,411,10-25,400-500
64,6051d1f64ec6952ca5b45dba,6053268e4ec6952ca5b46330,647d61cfb733e9001b5020d6,18.142857142857142,440,10-25,400-500
65,6051d1f64ec6952ca5b45dba,626f96886ea9037357d4496d,6538e228dbc93a001b28e814,2.5294117647058822,940,<10,>500
66,6051d1f64ec6952ca5b45dba,6376054fc09df47d4015b813,642a5467be27fc00173ac422,28.77777777777778,262,25-50,200-300
67,6051d1f64ec6952ca5b45dba,6376054fc09df47d4015b813,642a5467be27fc00173ac427,5.142857142857143,798,<10,>500
68,6051d1f64ec6952ca5b45dba,6376054fc09df47d4015b813,642a5467be27fc00173ac428,21.166666666666668,375,10-25,300-400
69,6051d1f64ec6952ca5b45dba,6376054fc09df47d4015b813,642a5467be27fc00173ac434,9.352941176470589,631,<10,>500
70,6051d1f64ec6952ca5b45dba,6376054fc09df47d4015b813,647d69c33231c30017b6f2a9,38.35294117647059,207,25-50,200-300
71,6051d1f64ec6952ca5b45dba,6376054fc09df47d4015b813,647d69c33231c30017b6f2af,11.5625,558,10-25,>500
72,6051d1f64ec6952ca5b45dba,659e78e5b1bc68001a7d2e9b,659e7ccc287ad900177e80d5,41.0,195,25-50,100-200
73,6053428bab9cfa30be36b00e,6061b4605518941d454cbc11,63fef2de384fed00177a5e4d,54.2,146,50-75,100-200
74,6053428bab9cfa30be36b00e,6061b4605518941d454cbc11,63fef2de384fed00177a5e54,43.0,184,25-50,100-200
75,6053428bab9cfa30be36b00e,6061b4605518941d454cbc11,63fef2df384fed00177a5e79,49.5,160,25-50,100-200
76,6053428bab9cfa30be36b00e,6061b4605518941d454cbc11,63fef2df384fed00177a5e8f,11.0,578,10-25,>500
77,6053428bab9cfa30be36b00e,6061b4605518941d454cbc11,63fef2df384fed00177a5e93,41.5,192,25-50,100-200
78,6053428bab9cfa30be36b00e,6061b4605518941d454cbc11,63fef2df384fed00177a5eb9,60.1,130,50-75,100-200
79,6053428bab9cfa30be36b00e,6061b4605518941d454cbc11,63fef6e5f69c61001701b014,46.0,174,25-50,100-200
80,6053428bab9cfa30be36b00e,6061b4605518941d454cbc11,655323630f48b1001bbec31d,41.888888888888886,190,25-50,100-200
81,6053428bab9cfa30be36b00e,6061b4605518941d454cbc11,6553250e53ba7b00177ea68c,63.73684210526316,123,50-75,100-200
82,6053428bab9cfa30be36b00e,62555f02b89e13678756ca62,643838c6c387c7001bc5da2e,2.909090909090909,918,<10,>500
83,6053428bab9cfa30be36b00e,64d320aeccff09001c48b8d4,64d3224c30769e001b1c4adb,13.5,524,10-25,>500
84,6053428bab9cfa30be36b00e,64d320aeccff09001c48b8d4,64d3229d30769e001b1c4ae3,10.5,598,10-25,>500
85,60587d3eb6dfef46f7241a34,64c202e60303800011c89dff,64c228f14842f500121f7074,20.0,404,10-25,400-500
86,60587d3eb6dfef46f7241a34,64c202e60303800011c89dff,64d08471866e7c001ba6683e,11.157894736842104,573,10-25,>500
87,60587d3eb6dfef46f7241a34,64c202e60303800011c89dff,64d08678443198001b0d9b11,11.090909090909092,575,10-25,>500
88,60587d3eb6dfef46f7241a34,652e60520c07dc00113fa720,659bfca5649b99001be13496,13.5,524,10-25,>500
89,60587d3eb6dfef46f7241a34,652e60520c07dc00113fa720,659bfe888933d00017f8272e,20.5,397,10-25,300-400
90,60587d3eb6dfef46f7241a34,659e78e5b1bc68001a7d2e9b,65c1ac41a81c2b001b4af08f,23.0,347,10-25,300-400
91,6059d3ddb6dfef46f7242113,59a7a9ec368512751a29375e,64bcb2f457ee4b001bf6b449,6.578947368421052,721,<10,>500
92,6059d3ddb6dfef46f7242113,59a7a9ec368512751a29375e,64bcb2f457ee4b001bf6b46b,26.36842105263158,299,25-50,200-300
93,6059d3ddb6dfef46f7242113,59a7a9ec368512751a29375e,64bcb2f457ee4b001bf6b470,19.36842105263158,414,10-25,400-500
