,foodcourt,restaurant,restaurantmenuitem,date,actual,forecast_xgb_norm,accuracy_xgb_norm,forecast_xgb_lag,accuracy_xgb_lag,forecast_x,accuracy_prophet,forecast_y,accuracy_prophet_multi,forecast_rf_lag,accuracy_rf_lag,accuracy_lr,forecast_lr,accuracy_xgb_multi,forecast_xgb_multi,forecast_rf_multi,accuracy_rf_multi
0,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,2024-02-12,0.0,17.0,0.5714285714285714,25.0,0.5714285714285714,49,0.2857142857142857,64,0.2857142857142857,22.0,0.5714285714285714,0.5714285714285714,227,0.1428571428571429,436,305.0,0.2857142857142857
1,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,2024-02-13,0.0,1.0,0.5714285714285714,2.0,0.5714285714285714,34,0.2857142857142857,40,0.2857142857142857,1.0,0.5714285714285714,0.5714285714285714,271,0.1428571428571429,436,305.0,0.2857142857142857
2,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,2024-02-14,0.0,0.0,0.5714285714285714,0.0,0.5714285714285714,32,0.2857142857142857,38,0.2857142857142857,0.0,0.5714285714285714,0.5714285714285714,108,0.1428571428571429,436,117.0,0.2857142857142857
3,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,2024-02-15,0.0,0.0,0.5714285714285714,0.0,0.5714285714285714,32,0.2857142857142857,38,0.2857142857142857,0.0,0.5714285714285714,0.5714285714285714,0,0.1428571428571429,436,118.0,0.2857142857142857
4,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,2024-02-16,0.0,22.0,0.5714285714285714,45.0,0.5714285714285714,55,0.2857142857142857,72,0.2857142857142857,33.0,0.5714285714285714,0.5714285714285714,0,0.1428571428571429,436,199.0,0.2857142857142857
5,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,2024-02-17,0.0,0.0,0.5714285714285714,0.0,0.5714285714285714,0,0.2857142857142857,0,0.2857142857142857,0.0,0.5714285714285714,0.5714285714285714,0,0.1428571428571429,0,0.0,0.2857142857142857
6,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,2024-02-18,0.0,0.0,0.5714285714285714,0.0,0.5714285714285714,0,0.2857142857142857,0,0.2857142857142857,0.0,0.5714285714285714,0.5714285714285714,0,0.1428571428571429,436,0.0,0.2857142857142857
7,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,2024-02-12,0.0,35.0,0.2857142857142857,7.0,0.2857142857142857,38,0.2857142857142857,56,0.2857142857142857,7.0,0.2857142857142857,0.4285714285714286,0,0.7142857142857143,9,5.0,0.2857142857142857
8,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,2024-02-13,0.0,24.0,0.2857142857142857,11.0,0.2857142857142857,27,0.2857142857142857,42,0.2857142857142857,9.0,0.2857142857142857,0.4285714285714286,0,0.7142857142857143,9,5.0,0.2857142857142857
9,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,2024-02-14,0.0,18.0,0.2857142857142857,14.0,0.2857142857142857,21,0.2857142857142857,35,0.2857142857142857,12.0,0.2857142857142857,0.4285714285714286,0,0.7142857142857143,0,3.0,0.2857142857142857
