,foodcourt,restaurant,restaurantmenuitem,date,actual,forecast_xgb_norm,accuracy_xgb_norm,forecast_xgb_lag,accuracy_xgb_lag,forecast_x,accuracy_prophet,forecast_y,accuracy_prophet_multi,forecast_rf_lag,accuracy_rf_lag
21,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,2024-02-12,0.0,5.0,0.2857142857142857,8.0,0.2857142857142857,7,0.2857142857142857,13,0.2857142857142857,7.0,0.2857142857142857
22,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,2024-02-13,0.0,3.0,0.2857142857142857,5.0,0.2857142857142857,5,0.2857142857142857,10,0.2857142857142857,3.0,0.2857142857142857
23,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,2024-02-14,0.0,3.0,0.2857142857142857,3.0,0.2857142857142857,4,0.2857142857142857,9,0.2857142857142857,2.0,0.2857142857142857
24,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,2024-02-15,0.0,1.0,0.2857142857142857,2.0,0.2857142857142857,3,0.2857142857142857,7,0.2857142857142857,2.0,0.2857142857142857
25,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,2024-02-16,0.0,10.0,0.2857142857142857,21.0,0.2857142857142857,12,0.2857142857142857,19,0.2857142857142857,14.0,0.2857142857142857
26,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,2024-02-17,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0,0.2857142857142857,0,0.2857142857142857,0.0,0.2857142857142857
27,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,2024-02-18,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0,0.2857142857142857,0,0.2857142857142857,0.0,0.2857142857142857
28,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,2024-02-12,0.0,54.0,0.2857142857142857,81.0,0.2857142857142857,70,0.2857142857142857,114,0.2857142857142857,68.0,0.2857142857142857
29,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,2024-02-13,0.0,51.0,0.2857142857142857,76.0,0.2857142857142857,66,0.2857142857142857,110,0.2857142857142857,69.0,0.2857142857142857
30,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,2024-02-14,0.0,14.0,0.2857142857142857,15.0,0.2857142857142857,29,0.2857142857142857,62,0.2857142857142857,12.0,0.2857142857142857
