item_id,date,predicted,actual,error,MAPE,Accuracy
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-02-26,0,15.0,1.0,0.5714285714285714,0.4285714285714286
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-02-27,1,0.0,1.0,0.5714285714285714,0.4285714285714286
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-02-28,0,0.0,0.0,0.5714285714285714,0.4285714285714286
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-02-29,109,0.0,1.0,0.5714285714285714,0.4285714285714286
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-03-01,134,0.0,1.0,0.5714285714285714,0.4285714285714286
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-03-02,0,0.0,0.0,0.5714285714285714,0.4285714285714286
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-03-03,0,0.0,0.0,0.5714285714285714,0.4285714285714286
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-02-26,127,46.0,1.0,1.0,0.0
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-02-27,124,0.0,1.0,1.0,0.0
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-02-28,130,0.0,1.0,1.0,0.0
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-02-29,154,6.0,1.0,1.0,0.0
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-03-01,152,42.0,1.0,1.0,0.0
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-03-02,0,36.0,1.0,1.0,0.0
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-03-03,0,28.0,1.0,1.0,0.0
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-02-26,14,37.0,0.6216216216216216,0.9459459459459458,0.05405405405405417
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-02-27,100,0.0,1.0,0.9459459459459458,0.05405405405405417
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-02-28,122,0.0,1.0,0.9459459459459458,0.05405405405405417
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-02-29,107,0.0,1.0,0.9459459459459458,0.05405405405405417
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-03-01,106,34.0,1.0,0.9459459459459458,0.05405405405405417
