item_id,date,predicted,actual,error,MAPE,Accuracy
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-01-29,25,0.0,1.0,0.7142857142857143,0.2857142857142857
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-01-30,2,0.0,1.0,0.7142857142857143,0.2857142857142857
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-01-31,0,0.0,0.0,0.7142857142857143,0.2857142857142857
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-02-01,0,0.0,0.0,0.7142857142857143,0.2857142857142857
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-02-02,0,37.0,1.0,0.7142857142857143,0.2857142857142857
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-02-03,0,33.0,1.0,0.7142857142857143,0.2857142857142857
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-02-04,0,11.0,1.0,0.7142857142857143,0.2857142857142857
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-01-29,75,0.0,1.0,0.8850174216027875,0.11498257839721249
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-01-30,71,0.0,1.0,0.8850174216027875,0.11498257839721249
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-01-31,59,0.0,1.0,0.8850174216027875,0.11498257839721249
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-02-01,35,0.0,1.0,0.8850174216027875,0.11498257839721249
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-02-02,33,41.0,0.1951219512195122,0.8850174216027875,0.11498257839721249
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-02-03,0,73.0,1.0,0.8850174216027875,0.11498257839721249
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-02-04,0,29.0,1.0,0.8850174216027875,0.11498257839721249
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-01-29,43,0.0,1.0,0.9500261643118785,0.049973835688121526
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-01-30,36,0.0,1.0,0.9500261643118785,0.049973835688121526
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-01-31,8,0.0,1.0,0.9500261643118785,0.049973835688121526
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-02-01,3,13.0,0.7692307692307693,0.9500261643118785,0.049973835688121526
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-02-02,5,42.0,0.8809523809523809,0.9500261643118785,0.049973835688121526
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-02-03,0,45.0,1.0,0.9500261643118785,0.049973835688121526
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-02-04,0,26.0,1.0,0.9500261643118785,0.049973835688121526
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,2024-01-29,15,0.0,1.0,0.9495798319327732,0.05042016806722682
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,2024-01-30,11,0.0,1.0,0.9495798319327732,0.05042016806722682
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,2024-01-31,9,0.0,1.0,0.9495798319327732,0.05042016806722682
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,2024-02-01,3,0.0,1.0,0.9495798319327732,0.05042016806722682
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,2024-02-02,6,17.0,0.6470588235294118,0.9495798319327732,0.05042016806722682
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,2024-02-03,0,20.0,1.0,0.9495798319327732,0.05042016806722682
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,2024-02-04,0,15.0,1.0,0.9495798319327732,0.05042016806722682
