date,foodcourtid,restaurant,menuitemid,FCRI_total_count,forecast_lr,r2_lr,accuracy_lr,forecast_xgb_multi,r2_xgb_multi,accuracy_xgb_multi,forecast_xgb_norm,r2_xgb_norm,accuracy_xgb_norm,forecast_xgb_lag,r2_xgb_lag,accuracy_xgb_lag,forecast_rf_lag,r2_rf_lag,accuracy_rf_lag
2024-02-26,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,37.0,17,-1.601464582453176,0.06563706563706562,1,-1.2283481199831012,0.43243243243243246,12.0,-0.7842557386283624,0.18078582784465147,0.0,-1.267286297704549,0.0,0.0,-1.264328967751021,0.4285714285714286
2024-02-27,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,0.0,26,-1.601464582453176,0.06563706563706562,0,-1.2283481199831012,0.43243243243243246,16.0,-0.7842557386283624,0.18078582784465147,-2.0,-1.267286297704549,0.0,0.0,-1.264328967751021,0.4285714285714286
2024-02-28,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,0.0,31,-1.601464582453176,0.06563706563706562,0,-1.2283481199831012,0.43243243243243246,15.0,-0.7842557386283624,0.18078582784465147,-1.0,-1.267286297704549,0.0,0.0,-1.264328967751021,0.4285714285714286
2024-02-29,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,0.0,4,-1.601464582453176,0.06563706563706562,0,-1.2283481199831012,0.43243243243243246,21.0,-0.7842557386283624,0.18078582784465147,-1.0,-1.267286297704549,0.0,0.0,-1.264328967751021,0.4285714285714286
2024-03-01,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,34.0,0,-1.601464582453176,0.06563706563706562,0,-1.2283481199831012,0.43243243243243246,32.0,-0.7842557386283624,0.18078582784465147,0.0,-1.267286297704549,0.0,0.0,-1.264328967751021,0.4285714285714286
2024-03-02,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,38.0,0,-1.601464582453176,0.06563706563706562,0,-1.2283481199831012,0.43243243243243246,0.0,-0.7842557386283624,0.18078582784465147,0.0,-1.267286297704549,0.0,0.0,-1.264328967751021,0.4285714285714286
2024-03-03,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,25.0,0,-1.601464582453176,0.06563706563706562,0,-1.2283481199831012,0.43243243243243246,0.0,-0.7842557386283624,0.18078582784465147,0.0,-1.267286297704549,0.0,0.0,-1.264328967751021,0.4285714285714286
2024-02-26,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,98.0,68,-3.23254997366507,0.0991253644314869,8,-1.0269117905244411,0.4402332361516035,39.0,-2.464096711895864,0.0568513119533528,343.0,-6.62800030097063,0.0,203.0,-4.294462140402799,0.006396588486140664
2024-02-27,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,111,-3.23254997366507,0.0991253644314869,0,-1.0269117905244411,0.4402332361516035,62.0,-2.464096711895864,0.0568513119533528,72.0,-6.62800030097063,0.0,151.0,-4.294462140402799,0.006396588486140664
2024-02-28,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,0.0,138,-3.23254997366507,0.0991253644314869,0,-1.0269117905244411,0.4402332361516035,76.0,-2.464096711895864,0.0568513119533528,81.0,-6.62800030097063,0.0,109.0,-4.294462140402799,0.006396588486140664
